Participant,Group,Condition,Accuracy
Sub-109,1.0,happy_happy,78.57142857142857
Sub-109,1.0,happy_sad,84.61538461538461
Sub-109,1.0,sad_happy,66.66666666666666
Sub-109,1.0,sad_sad,85.71428571428571
Sub-110,1.0,happy_happy,100.0
Sub-110,1.0,happy_sad,100.0
Sub-110,1.0,sad_happy,100.0
Sub-110,1.0,sad_sad,100.0
Sub-111,1.0,happy_happy,93.33333333333331
Sub-111,1.0,happy_sad,100.0
Sub-111,1.0,sad_happy,100.0
Sub-111,1.0,sad_sad,100.0
Sub-112,1.0,happy_happy,93.33333333333331
Sub-112,1.0,happy_sad,91.66666666666666
Sub-112,1.0,sad_happy,92.85714285714286
Sub-112,1.0,sad_sad,100.0
Sub-113,1.0,happy_happy,93.33333333333331
Sub-113,1.0,happy_sad,84.61538461538461
Sub-113,1.0,sad_happy,100.0
Sub-113,1.0,sad_sad,76.92307692307693
Sub-114,1.0,happy_happy,100.0
Sub-114,1.0,happy_sad,90.0
Sub-114,1.0,sad_happy,90.9090909090909
Sub-114,1.0,sad_sad,90.9090909090909
Sub-115,1.0,happy_happy,93.33333333333331
Sub-115,1.0,happy_sad,100.0
Sub-115,1.0,sad_happy,100.0
Sub-115,1.0,sad_sad,93.33333333333331
Sub-116,1.0,happy_happy,100.0
Sub-116,1.0,happy_sad,100.0
Sub-116,1.0,sad_happy,100.0
Sub-116,1.0,sad_sad,100.0
Sub-117,1.0,happy_happy,100.0
Sub-117,1.0,happy_sad,100.0
Sub-117,1.0,sad_sad,100.0
Sub-118,1.0,happy_happy,93.33333333333331
Sub-118,1.0,happy_sad,100.0
Sub-118,1.0,sad_happy,100.0
Sub-118,1.0,sad_sad,100.0
Sub-119,2.0,happy_happy,85.71428571428571
Sub-119,2.0,happy_sad,83.33333333333334
Sub-119,2.0,sad_happy,73.33333333333333
Sub-119,2.0,sad_sad,80.0
Sub-120,1.0,happy_happy,84.61538461538461
Sub-120,1.0,happy_sad,75.0
Sub-120,1.0,sad_happy,61.53846153846154
Sub-120,1.0,sad_sad,91.66666666666666
Sub-121,1.0,happy_happy,40.0
Sub-121,1.0,happy_sad,80.0
Sub-121,1.0,sad_happy,46.66666666666666
Sub-121,1.0,sad_sad,86.66666666666669
Sub-122,1.0,happy_happy,86.66666666666669
Sub-122,1.0,happy_sad,78.57142857142857
Sub-122,1.0,sad_happy,83.33333333333334
Sub-122,1.0,sad_sad,73.33333333333333
Sub-123,2.0,happy_happy,100.0
Sub-123,2.0,happy_sad,100.0
Sub-123,2.0,sad_happy,86.66666666666669
Sub-123,2.0,sad_sad,86.66666666666669
Sub-124,1.0,happy_happy,93.33333333333331
Sub-124,1.0,happy_sad,93.33333333333331
Sub-124,1.0,sad_happy,93.33333333333331
Sub-124,1.0,sad_sad,93.33333333333331
Sub-125,2.0,happy_happy,80.0
Sub-125,2.0,happy_sad,93.33333333333331
Sub-125,2.0,sad_happy,100.0
Sub-125,2.0,sad_sad,93.33333333333331
Sub-126,2.0,happy_happy,93.33333333333331
Sub-126,2.0,happy_sad,100.0
Sub-126,2.0,sad_happy,100.0
Sub-126,2.0,sad_sad,91.66666666666666
Sub-127,2.0,happy_happy,93.33333333333331
Sub-127,2.0,happy_sad,92.85714285714286
Sub-127,2.0,sad_happy,80.0
Sub-127,2.0,sad_sad,92.85714285714286
Sub-128,1.0,happy_happy,93.33333333333331
Sub-128,1.0,happy_sad,81.81818181818183
Sub-128,1.0,sad_happy,85.71428571428571
Sub-128,1.0,sad_sad,64.28571428571429
Sub-129,1.0,happy_happy,80.0
Sub-129,1.0,happy_sad,64.28571428571429
Sub-129,1.0,sad_happy,46.66666666666666
Sub-129,1.0,sad_sad,66.66666666666666
Sub-130,1.0,happy_happy,80.0
Sub-130,1.0,happy_sad,85.71428571428571
Sub-130,1.0,sad_happy,80.0
Sub-130,1.0,sad_sad,100.0
Sub-131,1.0,happy_happy,100.0
Sub-131,1.0,happy_sad,100.0
Sub-131,1.0,sad_happy,90.0
Sub-131,1.0,sad_sad,91.66666666666666
