Participant,Group,Condition,ReactionTime
Sub-075,1.0,sad_sad,0.904637142862027
Sub-076,1.0,happy_happy,0.4788695600077821
Sub-076,1.0,happy_sad,0.8206501266763856
Sub-076,1.0,sad_happy,0.539100353322768
Sub-076,1.0,sad_sad,0.44967107333941386
Sub-077,1.0,happy_happy,0.9238447799968222
Sub-077,1.0,happy_sad,1.02611186663853
Sub-077,1.0,sad_happy,0.8358624714227127
Sub-077,1.0,sad_sad,0.8639164615350847
Sub-078,2.0,happy_happy,0.6405937133201708
Sub-078,2.0,happy_sad,0.9013651583227328
Sub-078,2.0,sad_happy,0.6691481600049883
Sub-078,2.0,sad_sad,0.6375724461663944
Sub-079,2.0,happy_happy,0.6379757666572308
Sub-079,2.0,happy_sad,0.7230930461709459
Sub-079,2.0,sad_happy,0.7431746499995435
Sub-079,2.0,sad_sad,0.8223395066491018
Sub-080,2.0,happy_happy,0.31441807999896504
Sub-080,2.0,happy_sad,0.4277841428660655
Sub-080,2.0,sad_happy,0.3627987500180357
Sub-080,2.0,sad_sad,0.4226136066485197
Sub-081,1.0,happy_happy,0.8655754200027634
Sub-081,1.0,happy_sad,0.8778796538065833
Sub-081,1.0,sad_happy,0.864915215356562
Sub-081,1.0,sad_sad,0.7928794571364831
Sub-082,1.0,happy_happy,0.4587169600185007
Sub-082,1.0,happy_sad,0.731963438501295
Sub-082,1.0,sad_happy,0.4111565733483682
Sub-082,1.0,sad_sad,0.4629608600555609
Sub-083,2.0,happy_happy,0.562959719945987
Sub-083,2.0,happy_sad,0.7243562538463336
Sub-083,2.0,sad_happy,0.6493931133144846
Sub-083,2.0,sad_sad,0.6231087846323274
Sub-084,1.0,happy_happy,0.8388232599982681
Sub-084,1.0,happy_sad,0.8333361571401058
Sub-084,1.0,sad_happy,0.6710768357172908
Sub-084,1.0,sad_sad,0.8434237333286243
Sub-085,2.0,happy_happy,0.4979714599942478
Sub-085,2.0,happy_sad,0.6462922083252729
Sub-085,2.0,sad_happy,0.5979179466725327
Sub-085,2.0,sad_sad,0.6109399538478241
Sub-086,2.0,happy_happy,0.4165953214230415
Sub-086,2.0,happy_sad,0.5625372785808784
Sub-086,2.0,sad_happy,0.486976233338161
Sub-086,2.0,sad_sad,0.4429973066629221
Sub-087,1.0,happy_happy,0.5270761266661187
Sub-087,1.0,happy_sad,0.6476201307512104
Sub-087,1.0,sad_happy,0.449743969222674
Sub-087,1.0,sad_sad,0.6595837399751568
Sub-089,2.0,happy_happy,1.0057244356555333
Sub-089,2.0,happy_sad,0.9382659214482244
Sub-089,2.0,sad_happy,1.0011655230504959
Sub-089,2.0,sad_sad,0.9665695866880316
Sub-090,2.0,happy_happy,0.7498105454300954
