participantID,age,sex,group,condition,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,key_resp.rt,correct
Sub-044,36.0,1.0,1.0,happy_happy,0,0,0,0,1,1,3,0,10,0.6142310199968051,100.0
Sub-044,36.0,1.0,1.0,happy_sad,1,3,2,3,6,0,0,0,0,0.8656459000000419,83.33333333333334
Sub-044,36.0,1.0,1.0,sad_happy,0,0,0,0,2,2,1,4,6,0.6750796714248801,100.0
Sub-044,36.0,1.0,1.0,sad_sad,2,3,1,6,3,0,0,0,0,0.8497750461549283,100.0
Sub-045,22.0,1.0,2.0,happy_happy,0,0,0,0,7,3,5,0,0,0.5427514399945115,73.33333333333333
Sub-045,22.0,1.0,2.0,happy_sad,0,0,2,6,7,0,0,0,0,0.7065253142832911,78.57142857142857
Sub-045,22.0,1.0,2.0,sad_happy,0,0,0,0,8,4,3,0,0,0.530248406669125,86.66666666666667
Sub-045,22.0,1.0,2.0,sad_sad,0,0,3,7,5,0,0,0,0,0.6177678533286477,86.66666666666667
Sub-046,30.0,1.0,2.0,happy_happy,0,0,0,0,0,1,7,3,4,0.5953425800039743,100.0
Sub-046,30.0,1.0,2.0,happy_sad,4,6,4,0,1,0,0,0,0,0.6917625000157083,93.33333333333333
Sub-046,30.0,1.0,2.0,sad_happy,0,0,0,1,1,0,5,4,4,0.490571738471492,100.0
Sub-046,30.0,1.0,2.0,sad_sad,6,3,6,0,0,0,0,0,0,0.5971714866580442,100.0
Sub-047,21.0,1.0,2.0,happy_happy,0,0,0,0,2,6,6,1,0,0.6726241461807289,100.0
Sub-047,21.0,1.0,2.0,happy_sad,0,1,5,6,3,0,0,0,0,0.7739240363642405,81.81818181818183
Sub-047,21.0,1.0,2.0,sad_happy,0,0,0,0,2,9,3,1,0,0.6776278266605611,100.0
Sub-047,21.0,1.0,2.0,sad_sad,1,0,3,6,5,0,0,0,0,0.6386667142838373,100.0
Sub-048,21.0,1.0,1.0,happy_happy,0,0,1,0,2,5,4,2,1,0.6071131799835712,93.33333333333333
Sub-048,21.0,1.0,1.0,happy_sad,0,3,7,4,1,0,0,0,0,0.7194795749965124,91.66666666666666
Sub-048,21.0,1.0,1.0,sad_happy,0,0,1,0,5,3,4,0,2,0.5705584230958126,100.0
Sub-048,21.0,1.0,1.0,sad_sad,1,5,5,3,1,0,0,0,0,0.7605365642812103,78.57142857142857
Sub-049,28.0,2.0,1.0,happy_happy,0,0,0,3,7,1,3,0,1,0.843976779996107,100.0
Sub-049,28.0,2.0,1.0,happy_sad,0,1,2,1,11,0,0,0,0,0.9146868923607354,92.3076923076923
Sub-049,28.0,2.0,1.0,sad_happy,0,0,0,3,6,5,1,0,0,0.8561860200638572,100.0
Sub-049,28.0,2.0,1.0,sad_sad,0,2,0,7,6,0,0,0,0,0.923709913327669,100.0
Sub-050,21.0,2.0,2.0,happy_happy,0,0,0,0,0,1,7,6,1,0.6014699200013032,100.0
Sub-050,21.0,2.0,2.0,happy_sad,0,4,7,3,1,0,0,0,0,0.8767087833063366,91.66666666666666
Sub-050,21.0,2.0,2.0,sad_happy,0,0,0,0,0,2,9,3,1,0.5659797615192544,100.0
Sub-050,21.0,2.0,2.0,sad_sad,1,3,6,4,1,0,0,0,0,0.769538018132814,90.9090909090909
Sub-051,27.0,2.0,2.0,happy_happy,0,0,0,0,0,5,4,6,0,0.6951808999758213,100.0
Sub-051,27.0,2.0,2.0,happy_sad,1,0,6,6,0,1,1,0,0,0.9165946750435978,100.0
Sub-051,27.0,2.0,2.0,sad_happy,0,0,0,0,0,4,7,4,0,0.7137312599768241,86.66666666666667
Sub-051,27.0,2.0,2.0,sad_sad,0,4,7,4,0,0,0,0,0,0.8352341000169802,84.61538461538461
Sub-052,33.0,2.0,2.0,happy_happy,0,0,2,1,2,5,2,3,0,0.6842208357141187,100.0
Sub-052,33.0,2.0,2.0,happy_sad,3,3,4,4,1,0,0,0,0,0.603085420000328,100.0
Sub-052,33.0,2.0,2.0,sad_happy,0,1,2,0,3,6,1,2,0,0.6150676933320938,86.66666666666667
Sub-052,33.0,2.0,2.0,sad_sad,3,3,4,2,3,0,0,0,0,0.6195662466634531,93.33333333333333
Sub-053,36.0,1.0,2.0,happy_happy,0,0,0,0,1,7,5,1,1,0.6599913133230682,100.0
Sub-053,36.0,1.0,2.0,happy_sad,0,0,0,9,6,0,0,0,0,0.957731178562556,100.0
Sub-053,36.0,1.0,2.0,sad_happy,0,0,0,0,3,8,2,1,1,0.7436780799956372,100.0
Sub-053,36.0,1.0,2.0,sad_sad,0,0,5,6,3,1,0,0,0,0.7683930071237098,85.71428571428571
Sub-054,23.0,1.0,2.0,happy_happy,0,0,0,0,2,3,5,5,0,0.5345991466667631,93.33333333333333
Sub-054,23.0,1.0,2.0,happy_sad,0,1,4,6,4,0,0,0,0,0.6703577071428819,100.0
Sub-054,23.0,1.0,2.0,sad_happy,0,0,0,0,4,7,1,2,1,0.5881312428571489,100.0
Sub-054,23.0,1.0,2.0,sad_sad,1,1,6,4,3,0,0,0,0,0.4863459066665807,93.33333333333333
Sub-055,22.0,1.0,2.0,happy_happy,0,0,0,0,0,1,4,7,3,0.7505709538460136,100.0
Sub-055,22.0,1.0,2.0,happy_sad,1,4,5,4,1,0,0,0,0,0.8830002642851988,100.0
Sub-055,22.0,1.0,2.0,sad_happy,0,0,0,0,0,3,5,5,2,0.5927579214330763,100.0
Sub-055,22.0,1.0,2.0,sad_sad,2,6,2,4,1,0,0,0,0,0.7187779799957449,73.33333333333333
Sub-056,24.0,2.0,2.0,happy_happy,0,0,0,1,0,5,7,1,1,0.7834217799982677,93.33333333333333
Sub-056,24.0,2.0,2.0,happy_sad,0,0,6,6,3,0,0,0,0,0.947655815384888,53.84615384615385
Sub-056,24.0,2.0,2.0,sad_happy,0,0,0,1,1,4,6,3,0,0.8799239076906815,92.3076923076923
Sub-056,24.0,2.0,2.0,sad_sad,0,1,7,1,5,1,0,0,0,0.9545032071515119,50.0
Sub-057,25.0,1.0,2.0,happy_happy,0,0,0,0,0,3,7,5,0,0.9921366615383774,61.53846153846154
Sub-057,25.0,1.0,2.0,happy_sad,0,3,8,2,2,0,0,0,0,0.9810438300006353,70.0
Sub-057,25.0,1.0,2.0,sad_happy,0,0,0,0,1,3,10,1,0,0.9346857272734765,36.36363636363637
Sub-057,25.0,1.0,2.0,sad_sad,1,4,8,2,0,0,0,0,0,0.9629527636365807,90.9090909090909
Sub-059,25.0,1.0,2.0,happy_happy,0,0,0,0,1,5,4,4,1,0.5879234666664463,93.33333333333333
Sub-059,25.0,1.0,2.0,happy_sad,0,2,4,6,3,0,0,0,0,0.8173526363643759,100.0
Sub-059,25.0,1.0,2.0,sad_happy,0,0,0,0,0,4,7,4,0,0.5974890599994979,100.0
Sub-059,25.0,1.0,2.0,sad_sad,1,1,4,9,0,0,0,0,0,0.6636616799999805,100.0
Sub-061,41.0,1.0,1.0,happy_happy,0,0,0,0,0,5,6,2,2,0.5601445866663805,80.0
Sub-061,41.0,1.0,1.0,happy_sad,1,4,5,5,0,0,0,0,0,0.7942147599998861,80.0
Sub-061,41.0,1.0,1.0,sad_happy,0,0,0,1,1,4,3,4,2,0.7328028428569918,64.28571428571429
Sub-061,41.0,1.0,1.0,sad_sad,2,6,2,2,3,0,0,0,0,0.6288929866668089,73.33333333333333
Sub-062,24.0,1.0,2.0,happy_happy,0,0,0,0,2,8,5,0,0,0.6105682428585298,100.0
Sub-062,24.0,1.0,2.0,happy_sad,0,0,3,6,6,0,0,0,0,0.7722888769225952,84.61538461538461
Sub-062,24.0,1.0,2.0,sad_happy,0,0,0,1,3,7,4,0,0,0.6462956533340427,80.0
Sub-062,24.0,1.0,2.0,sad_sad,0,0,3,7,5,0,0,0,0,0.500822970000445,90.0
Sub-064,22.0,2.0,1.0,happy_happy,0,0,0,0,2,7,6,0,0,0.7167686857033654,100.0
Sub-064,22.0,2.0,1.0,happy_sad,0,0,3,11,1,0,0,0,0,1.025092400007204,100.0
Sub-064,22.0,2.0,1.0,sad_happy,0,0,0,0,1,10,3,1,0,0.6678274785517715,100.0
Sub-064,22.0,2.0,1.0,sad_sad,0,3,4,7,1,0,0,0,0,0.8374642214122494,100.0
Sub-065,26.0,2.0,1.0,happy_happy,0,0,0,1,5,6,2,1,0,0.8011873800152292,86.66666666666667
Sub-065,26.0,2.0,1.0,happy_sad,0,1,2,5,7,0,0,0,0,0.913577153848914,69.23076923076923
Sub-065,26.0,2.0,1.0,sad_happy,0,0,0,0,4,6,2,3,0,0.8769771769069709,92.3076923076923
Sub-065,26.0,2.0,1.0,sad_sad,0,3,4,1,7,0,0,0,0,0.8008008999944044,91.66666666666666
Sub-066,18.0,1.0,1.0,happy_happy,0,0,1,1,1,2,5,3,2,0.7974177785716685,92.85714285714286
Sub-066,18.0,1.0,1.0,happy_sad,1,2,6,4,2,0,0,0,0,0.9471763817974451,81.81818181818183
Sub-066,18.0,1.0,1.0,sad_happy,0,0,0,0,3,2,5,5,0,0.8224068133315693,100.0
Sub-066,18.0,1.0,1.0,sad_sad,4,3,3,5,0,0,0,0,0,0.7539734928702403,100.0
Sub-067,37.0,2.0,1.0,happy_happy,0,0,0,0,6,5,0,3,1,0.7175536066604157,46.666666666666664
Sub-067,37.0,2.0,1.0,happy_sad,1,1,1,4,8,0,0,0,0,0.8198509500167953,91.66666666666666
Sub-067,37.0,2.0,1.0,sad_happy,0,0,0,0,7,6,0,1,1,0.6961438732842604,33.33333333333333
Sub-067,37.0,2.0,1.0,sad_sad,1,2,1,8,3,0,0,0,0,0.6523553266345213,73.33333333333333
Sub-068,24.0,2.0,2.0,happy_happy,0,0,0,0,1,7,3,2,2,0.3936377866193652,100.0
Sub-068,24.0,2.0,2.0,happy_sad,0,1,2,10,1,1,0,0,0,0.5731572922892295,92.3076923076923
Sub-068,24.0,2.0,2.0,sad_happy,0,0,0,0,4,8,2,0,1,0.4410979666747153,93.33333333333333
Sub-068,24.0,2.0,2.0,sad_sad,0,3,4,6,2,0,0,0,0,0.5057951266877353,93.33333333333333
Sub-069,35.0,2.0,2.0,happy_happy,0,0,0,0,5,10,0,0,0,0.6272233714283045,100.0
Sub-069,35.0,2.0,2.0,happy_sad,0,1,1,3,10,0,0,0,0,0.7161438154020848,92.3076923076923
Sub-069,35.0,2.0,2.0,sad_happy,0,0,0,0,11,4,0,0,0,0.5306154399955024,100.0
Sub-069,35.0,2.0,2.0,sad_sad,0,0,2,4,7,1,1,0,0,0.5506284000252241,100.0
Sub-070,19.0,2.0,2.0,happy_happy,0,0,0,0,5,3,3,3,1,0.7474120785981151,71.42857142857143
Sub-070,19.0,2.0,2.0,happy_sad,0,1,3,3,8,0,0,0,0,0.7916947200195864,40.0
